Area_m²,Location,Floor,Price_€,Newly_built
100.0,Šijana,1,185000,0
86.15,Veli vrh,1,168000,1
45.0,Centar,0,88500,0
49.51,Centar,1,187000,0
52.0,Veli vrh,1,130000,1
71.99,Centar,1,180000,0
109.0,Šijana,1,141000,0
66.75,Vidikovac,2,155000,0
29.59,Kaštanjer,0,67000,0
53.41,Centar,2,175000,0
53.41,Centar,0,199000,1
54.69,Centar,1,144000,0
68.7,Kaštanjer,4,104000,0
293.96,Vidikovac,0,599000,0
60.0,Centar,0,180000,0
78.91,Valdebek,0,207000,0
87.0,Veruda,0,175000,0
70.69,Centar,1,158000,0
25.0,Centar,2,95000,1
166.6,Centar,2,250000,0
47.0,Veruda,1,154500,0
160.0,Vidikovac,1,255000,0
37.0,Centar,4,105000,0
81.0,Centar,2,165000,0
135.0,Centar,1,235000,0
110.0,Gregovica,1,250000,0
40.55,Šijana,1,73000,0
70.69,Centar,1,150000,0
74.21,Centar,1,200000,0
90.58,Centar,1,159000,0
79.77,Veruda,1,127000,0
62.48,Centar,3,139000,0
124.0,Veli vrh,2,268000,0
75.0,Veli vrh,2,176000,1
59.47,Centar,5,135000,0
119.17,Monte Zaro,1,170000,0
156.0,Kaštanjer,1,220000,0
69.94,Štinjan,0,156000,0
86.02,Centar,1,256500,1
259.4,Nova Veruda,2,318000,0
167.35,Centar,4,418500,1
70.21,Centar,2,176000,1
70.33,Centar,1,176000,0
87.0,Centar,1,110000,0
84.0,Veruda,2,365000,1
80.0,Centar,3,230000,0
122.0,Centar,1,260000,0
62.48,Centar,3,139000,0
57.0,Centar,1,120000,0
65.0,Centar,0,182000,0
65.0,Centar,0,182000,1
65.0,Centar,1,137000,0
68.0,Centar,2,164280,0
58.0,Centar,1,250000,0
75.0,Centar,1,150000,0
90.0,Centar,3,140000,0
74.0,Centar,1,185000,0
61.0,Centar,3,182324,0
110.0,Centar,4,185000,0
89.28,Centar,2,223200,1
107.0,Centar,3,332000,0
104.78,Centar,4,262000,1
109.55,Centar,4,274000,1
106.92,Centar,4,267300,1
90.72,Centar,2,226800,0
54.39,Kaštanjer,2,132000,1
66.75,Vidikovac,2,150000,0
60.3,Veli vrh,1,156500,1
60.29,Veli vrh,2,156500,1
60.29,Veli vrh,1,156500,1
75.83,Veli vrh,1,197000,1
73.16,Veli vrh,2,190000,1
77.58,Centar,0,166000,0
97.21,Centar,1,169000,0
55.0,Kaštanjer,1,96000,0
56.0,Centar,1,120000,0
94.0,Stoja,0,189000,0
110.57,Centar,4,276500,1
71.57,Centar,1,179000,1
70.21,Centar,1,175600,0
63.33,Centar,1,177500,1
68.25,Nova Veruda,3,165000,0
70.24,Stoja,1,250000,0
88.7,Kaštanjer,0,135000,0
93.48,Stoja,0,189000,0
96.4,Centar,1,163000,0
56.82,Valdebek,0,137000,1
140.0,Centar,3,226000,0
93.48,Stoja,0,189000,0
120.0,Centar,1,195000,0
74.0,Veruda,0,225000,0
80.0,Šijana,0,153000,0
89.82,Centar,1,185000,0
50.53,Centar,0,100000,0
58.58,Centar,4,130000,0
151.0,Centar,2,393000,1
134.0,Šijana,0,139000,0
105.0,Centar,2,273300,1
51.0,Centar,0,104000,0
133.0,Veruda,2,220000,0
505.0,Centar,2,350000,0
74.0,Centar,1,220000,0
180.79,Centar,3,375000,0
130.0,Centar,2,295000,0
80.0,Centar,0,166000,0
67.0,Centar,1,184000,0
199.0,Centar,3,359000,0
58.57,Monte Magno,2,145000,0
97.43,Monte Zaro,0,243600,1
129.36,Centar,4,323500,0
107.61,Centar,2,270000,1
107.61,Centar,1,270000,1
90.72,Centar,1,227000,0
84.0,Vidikovac,1,197000,0
73.46,Centar,1,151000,0
47.53,Veruda,1,156000,0
63.33,Centar,2,177400,1
55.0,Kaštanjer,0,132000,1
54.39,Kaštanjer,2,137500,1
71.57,Centar,2,180000,0
66.0,Centar,2,184800,0
65.33,Centar,2,183000,1
84.0,Veruda,2,385000,1
54.39,Kaštanjer,1,131000,1
99.06,Centar,1,200000,0
129.0,Centar,3,350000,0
