Location,Type,Area_m²,Price_€,Price
Štinjan,1,11901,1428000,1428000
Štinjan,1,988,130000,130000
Šijana,1,9600,1440000,1440000
Veli vrh,1,1200,240000,240000
Veli vrh,1,1318,263000,263000
Monteserpo - Komunal,1,5200,364000,364000
Šijana,1,633,95000,95000
Padulj,1,13000,1820000,1820000
Centar,1,701,200000,200000
Monte Magno,1,2931,455000,455000
Štinjan,1,1025,100000,100000
Valdebek,1,6716,604000,604000
Stoja,1,10000,2500000,2500000
Šikići,0,680,24000,24000
Štinjan,1,6600,990000,990000
Štinjan,1,2304,288000,288000
Šijana,1,1549,170000,170000
Šikići,1,851,75000,75000
Valdebek,1,1346,153000,153000
Štinjan,1,663,103000,103000
Štinjan,1,696,108000,108000
Štinjan,1,722,112700,112700
Štinjan,1,850,131000,131000
Štinjan,1,685,106900,106900
Štinjan,1,2340,130000,130000
Štinjan,1,703,109700,109700
Štinjan,1,664,103600,103600
Štinjan,1,1000,170000,170000
Štinjan,1,5600,1200000,1200000
Busoler,0,4022,180000,180000
Šijana,1,2604,419000,419000
Gregovica,1,927,165000,165000
Busoler,1,603,105000,105000
Veli vrh,1,6533,753300,753300
Štinjan,1,7504,1650000,1650000
Monvidal,1,3000,283600,283600
Šikići,0,1934,97650,97650
Veli vrh,1,19000,642000,642000
Centar,1,1527,122000,122000
Šijana,1,12175,1643625,1643625
Monvidal,0,621,19872,19872
Sv. Polikarp / Sisplac,1,815,580000,580000
Veli vrh,1,1080,80000,80000
Štinjan,1,600,112500,112500
Busoler,0,6680,277600,277600
Busoler,0,14721,397650,397650
Busoler,0,3434,142700,142700
Kaštanjer,1,488,100000,100000
Štinjan,1,10200,1800000,1800000
Štinjan,1,7504,1650000,1650000
Šijana,1,35221,1056500,1056500
Šijana,1,10181,407000,407000
Veli vrh,1,2138,181730,181730
Štinjan,1,6963,80,557040
Monteserpo - Komunal,1,539,73000,73000
Štinjan,1,7426,93,690618
Štinjan,0,523,52300,52300
Veli vrh,1,8862,410000,410000
Busoler,1,1776,230880,230880
Štinjan,1,600,78000,78000
Štinjan,1,6397,959550,959550
Šikići,1,4912,206000,206000
Šikići,1,1165,100440,100440
Šikići,1,1164,122000,122000
Šikići,1,1034,109000,109000
Veli vrh,1,2138,199000,199000
Veli vrh,1,2750,272500,272500
Veli vrh,1,2750,275000,275000
Veli vrh,1,1270,126500,126500
