Location,Type,Area_m²,Price_€,Price
Veli vrh,0,546,17300,17300
Veli vrh,0,545,17300,17300
Busoler,1,589,92000,92000
Busoler,1,603,94000,94000
Štinjan,1,3300,599000,599000
Šijana,1,670,50000,50000
Veli vrh,0,601,19300,19300
Busoler,1,1360,145500,145500
Veli vrh,1,1185,118500,118500
Centar,1,935,340000,340000
Valdebek,0,2550,53000,53000
Valdebek,1,3500,472500,472500
Veli vrh,1,1299,260000,260000
Valdebek,1,4330,495000,495000
Monteserpo - Komunal,0,6539,326950,326950
Monteserpo - Komunal,1,1157,125000,125000
Veli vrh,0,1290,120000,120000
Štinjan,1,4055,180000,180000
Padulj,1,3416,360000,360000
Štinjan,1,2400,120000,120000
Šijana,1,5016,180,902880
Centar,1,9000,540000,540000
Centar,1,25400,3500000,3500000
Centar,1,2200,88000,88000
Šikići,1,1164,122000,122000
Centar,1,674,67400,67400
Centar,1,3520,229000,229000
Centar,0,14883,280000,280000
Centar,1,1325,145750,145750
Centar,1,530,129000,129000
Centar,1,831,110000,110000
Centar,1,1000,58000,58000
Centar,1,1014,91500,91500
Centar,1,3200,203000,203000
Valdebek,1,385,55000,55000
Šikići,1,629,63000,63000
Šijana,0,700,33000,33000
Šijana,0,1004,47000,47000
Šijana,0,1005,47000,47000
Šijana,1,696,29000,29000
Šijana,0,638,27000,27000
Šijana,1,991,82500,82500
Šijana,0,634,27000,27000
Busoler,1,5364,429000,429000
Centar,0,825,82500,82500
Centar,0,889,88900,88900
Veruda,1,217,60000,60000
Veli vrh,1,522,75500,75500
Veli vrh,1,843,123000,123000
Šijana,1,2620,419000,419000
Šijana,1,505,72500,72500
Centar,1,19660,690000,690000
Šijana,1,12350,1520000,1520000
Valdebek,1,920,178000,178000
Šikići,1,466,67700,67700
Veli vrh,1,2138,199000,199000
Šikići,1,1034,109000,109000
Štinjan,1,7426,93,690618
Štinjan,0,523,52300,52300
Štinjan,1,7504,1650000,1650000
Valdebek,1,3095,216000,216000
Centar,1,2620,419200,419200
Centar,1,5446,216000,216000
Centar,1,1360,140000,140000
Centar,1,8000,320000,320000
Centar,1,7500,200,1500000
Centar,1,3700,370000,370000
Štinjan,1,1164,116400,116400
Veli vrh,1,529,77000,77000
Veli vrh,1,532,77000,77000
Štinjan,1,2287,236900,236900
Valdebek,1,6716,604000,604000
Šikići,0,950,27000,27000
Štinjan,1,988,110000,110000
Veli vrh,1,1318,263000,263000
Valdebek,1,3447,345000,345000
Šijana,1,9600,1440000,1440000
Štinjan,1,983,130000,130000
Štinjan,1,6963,557000,557000
Nova Veruda,1,4924,1940000,1940000
Veli vrh,1,524,77000,77000
Veli vrh,1,519,75000,75000
Busoler,1,1360,140000,140000
Monteserpo - Komunal,1,662,100000,100000
Centar,0,10728,48000,48000
Centar,1,5018,752700,752700
Centar,0,500,30000,30000
Centar,1,560,42000,42000
Veli vrh,1,466,68000,68000
Štinjan,1,600,51000,51000
Štinjan,1,6397,959550,959550
Štinjan,1,2712,272000,272000
Štinjan,1,6963,80,557040
Šikići,1,4912,206000,206000
Šikići,1,1165,100440,100440
Centar,1,13658,500000,500000
Centar,1,5100,200,1020000
Šikići,0,1007,18400,18400
Štinjan,1,2288,237000,237000
Štinjan,1,2340,124500,124500
Šijana,0,625,52000,52000
Šijana,0,912,76000,76000
Šijana,0,1008,84000,84000
Šikići,1,851,80000,80000
Veruda,1,220,69300,69300
Štinjan,1,7504,200,1500800
Centar,1,6500,150,975000
Šikići,1,1180,110000,110000
Štinjan,1,1070,211500,211500
Šijana,1,416,40000,40000
Štinjan,1,6565,682000,682000
Veli vrh,1,2138,149600,149600
Monteserpo - Komunal,1,5200,364000,364000
Štinjan,1,1025,100000,100000
Veli vrh,1,1574,320000,320000
Veli vrh,0,1290,95000,95000
Veli vrh,1,2138,146000,146000
Centar,1,3206,801500,801500
Monteserpo - Komunal,1,1250,110700,110700
Kaštanjer,1,824,150000,150000
Verudela,1,1800,415000,415000
Štinjan,1,11900,1550000,1550000
Škatari,0,1200,29000,29000
Šijana,1,889,53500,53500
Busoler,1,603,63000,63000
Šijana,1,420,44000,44000
Škatari,1,2000,120000,120000
Škatari,1,4000,240000,240000
Gregovica,1,927,165000,165000
Šijana,1,2604,419000,419000
Centar,1,5200,364000,364000
Centar,1,3200,203000,203000
Busoler,0,4022,180000,180000
Monteserpo - Komunal,1,416,53000,53000
Centar,1,1337,950000,950000
Šikići,1,980,98000,98000
Šijana,1,634,28530,28530
Kaštanjer,1,1800,320000,320000
Šijana,1,2183,175000,175000
Šikići,0,1000,16000,16000
Šikići,1,509,50000,50000
Šikići,1,980,98000,98000
Štinjan,1,1000,150000,150000
Štinjan,1,2304,287500,287500
Veruda,1,250,55000,55000
Busoler,0,690,21000,21000
Štinjan,1,1395,139500,139500
Veli vrh,1,2589,155000,155000
Centar,0,1000,37000,37000
Centar,1,3000,225000,225000
Štinjan,1,5134,924000,924000
Valdebek,1,4374,499000,499000
Šikići,0,860,37000,37000
Monteserpo - Komunal,0,679,28000,28000
Busoler,1,5364,550000,550000
Šikići,1,472,60000,60000
Veruda,1,4920,1900000,1900000
Padulj,1,7400,594000,594000
Veli vrh,1,1600,250000,250000
Štinjan,1,1000,100000,100000
Valmade,0,500,21000,21000
Veli vrh,1,1200,150000,150000
Štinjan,1,2161,183447,183447
